dataset,protocol,method,method_label,runs,samples_per_run,mean_acc,std_acc,mean_iou,mean_min_angle_deg,pooled_acc,total_samples,mean_acc_percent,std_acc_percent,pooled_acc_percent,result_block
cornell,image-wise,litemsa,LiteMSA,15,177.0,0.8433145009416196,0.026280658785669583,0.47697471550472714,7.062688216241213,0.8433145009416196,2655,84.33145009416197,2.628065878566958,84.33145009416197,cornell_image-wise
cornell,image-wise,litemsa_domain_aug,LiteMSA + DA,15,177.0,0.8674199623352166,0.02461420047411263,0.48805463341223826,5.788001976174949,0.8674199623352166,2655,86.74199623352166,2.461420047411263,86.74199623352166,cornell_image-wise
cornell,image-wise,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,15,177.0,0.8708097928436911,0.02068870997591245,0.4870324581771052,5.96494419661434,0.8708097928436912,2655,87.0809792843691,2.068870997591245,87.08097928436912,cornell_image-wise
cornell,image-wise,ggcnn_internal,GG-CNN-style,15,177.0,0.7977401129943503,0.043668646158425264,0.4415779783345467,6.505717774524564,0.7977401129943503,2655,79.77401129943503,4.366864615842527,79.77401129943503,cornell_image-wise
cornell,image-wise,compact_unet,Compact-UNet,15,177.0,0.6549905838041431,0.11838371577718695,0.3655547758404309,6.372635612157906,0.6549905838041431,2655,65.49905838041431,11.838371577718695,65.49905838041431,cornell_image-wise
cornell,object-group-wise,litemsa,LiteMSA,15,177.0,0.8223086419753086,0.053100280172451476,0.4659273861872008,7.6063642185153855,0.8263653483992467,2655,82.23086419753086,5.3100280172451475,82.63653483992466,cornell_object-group-wise
cornell,object-group-wise,litemsa_domain_aug,LiteMSA + DA,15,177.0,0.8529012345679013,0.042516879258508083,0.48010057201905304,6.245438924040546,0.8572504708097929,2655,85.29012345679014,4.251687925850808,85.7250470809793,cornell_object-group-wise
cornell,object-group-wise,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,15,177.0,0.8554938271604938,0.05491998288616698,0.4809245986504313,6.171205684263103,0.8595103578154426,2655,85.54938271604938,5.491998288616698,85.95103578154426,cornell_object-group-wise
cornell,object-group-wise,ggcnn_internal,GG-CNN-style,15,177.0,0.787641975308642,0.07982575412906837,0.4348856174197409,6.994500526726043,0.7947269303201506,2655,78.7641975308642,7.9825754129068365,79.47269303201506,cornell_object-group-wise
cornell,object-group-wise,compact_unet,Compact-UNet,15,177.0,0.6742345679012345,0.11258205940241106,0.37833433923823906,6.483293090802257,0.6749529190207156,2655,67.42345679012345,11.258205940241107,67.49529190207156,cornell_object-group-wise
jacquard,object-wise,litemsa,LiteMSA,15,10320.2,0.9638426097515214,0.005867657472039028,0.6263732295221415,2.753916573954671,0.963844369941151,154803,96.38426097515213,0.5867657472039027,96.38443699411509,jacquard_object-wise
jacquard,object-wise,litemsa_domain_aug,LiteMSA + DA,15,10320.2,0.963605018555446,0.0034120255608838346,0.6249019496931343,2.5939566762037938,0.9636053564853394,154803,96.3605018555446,0.34120255608838346,96.36053564853394,jacquard_object-wise
jacquard,object-wise,litemsa_da_augmix_corruption,LiteMSA + AugMix-like DA,15,10320.2,0.96239088305463,0.004734666635796015,0.6274459130048841,2.5489631504834365,0.9623909097368915,154803,96.239088305463,0.4734666635796015,96.23909097368914,jacquard_object-wise
jacquard,object-wise,ggcnn_internal,GG-CNN-style,15,10320.2,0.9475089086943522,0.005232663886900098,0.5997984330245394,3.38060672396846,0.9475074772452731,154803,94.75089086943522,0.5232663886900097,94.7507477245273,jacquard_object-wise
jacquard,object-wise,compact_unet,Compact-UNet,15,10320.2,0.9572224332806242,0.0069073605610701205,0.6122120926827763,2.7998076408586656,0.9572165914097271,154803,95.72224332806242,0.690736056107012,95.72165914097272,jacquard_object-wise
